ID,City,State,Region,Size,Population,Commute_Time,Transit_Score,Latitude,Longitude
0,New York,New York,Northeast,Large,20140470,36.7,6.9,40.6943,-73.9249
1,Los Angeles,California,West,Large,13200998,30.7,6.2,34.1141,-118.4068
2,Chicago,Illinois,Midwest,Large,9618502,31.8,5.1,41.8375,-87.6866
3,Dallas,Texas,South,Large,7637387,28.6,2.8,32.7935,-96.7667
4,Houston,Texas,South,Large,7122240,30,2.8,29.786,-95.3885
5,Washington,District of Columbia,South,Large,6385162,34.8,5.5,38.9047,-77.0163
6,Philadelphia,Pennsylvania,Northeast,Large,6245051,29.8,5.3,40.0077,-75.1339
7,Miami,Florida,South,Large,6138333,29.6,5.2,25.784,-80.2101
8,Atlanta,Georgia,South,Large,6089815,32.1,2.5,33.7628,-84.422
9,Boston,Massachusetts,Northeast,Large,4941632,31.2,5,42.3188,-71.0852
10,Phoenix,Arizona,West,Large,4845832,26.4,4.1,33.5722,-112.0892
11,San Francisco,California,West,Large,4749008,33.6,6.8,37.7558,-122.4449
12,Riverside,California,West,Large,4599839,32.9,3.8,33.9381,-117.3949
13,Detroit,Michigan,Midwest,Large,4392041,27.1,2.8,42.3834,-83.1024
14,Seattle,Washington,West,Large,4018762,30.8,5.1,47.6211,-122.3244
15,Minneapolis,Minnesota,Midwest,Large,3690261,25.3,3.7,44.9635,-93.2678
16,San Diego,California,West,Large,3298634,26,5.3,32.8313,-117.1222
17,Tampa,Florida,South,Large,3175275,27.2,3.3,27.9945,-82.4447
18,Denver,Colorado,West,Large,2963821,27.3,5.3,39.762,-104.8758
19,Baltimore,Maryland,Northeast,Large,2844510,31,4.2,39.3051,-76.6144
20,St. Louis,Missouri,Midwest,Large,2820253,26,3.8,38.6359,-90.2451
21,Orlando,Florida,South,Large,2673376,28.7,3.3,28.4773,-81.337
22,Charlotte,North Carolina,South,Large,2660329,26.5,2.2,35.2083,-80.8303
23,San Antonio,Texas,South,Large,2558143,26.7,4.5,29.4632,-98.5238
24,Portland,Oregon,West,Large,2512859,27.5,6.1,45.5371,-122.65
25,Sacramento,California,West,Large,2397382,27.1,4,38.5677,-121.4685
26,Pittsburgh,Pennsylvania,Northeast,Large,2370930,26.7,3.3,40.4397,-79.9763
27,Austin,Texas,South,Large,2283371,27.1,2.8,30.3005,-97.7522
28,Las Vegas,Nevada,West,Large,2265461,24.7,4.8,36.2333,-115.2654
29,Cincinnati,Ohio,Midwest,Large,2256884,24.7,2.5,39.1413,-84.506
30,Kansas City,Missouri,Midwest,Large,2192035,23.2,2.3,39.1238,-94.5541
