ID,City,State,Region,Size,Population,Avg_Rent,Median_Rent,Unemp_Rate,Avg_Income,Cost_Of_Living
0,New York,New York,Northeast,Large,20140470,3272,2323,3.8,85136,128
1,Los Angeles,California,West,Large,13200998,2857,1925,3.9,75821,140.6
2,Chicago,Illinois,Midwest,Large,9618502,1975,1364,4.2,71992,100.1
3,Dallas,Texas,South,Large,7637387,1754,1440,3.2,66727,98.5
4,Houston,Texas,South,Large,7122240,1620,1216,3.9,64837,95.8
5,Washington,District of Columbia,South,Large,6385162,2421,1740,2.8,80822,120.1
6,Philadelphia,Pennsylvania,Northeast,Large,6245051,1663,1314,3.4,72379,103.4
7,Miami,Florida,South,Large,6138333,3201,1670,1.9,73522,110.1
8,Atlanta,Georgia,South,Large,6089815,1991,1489,2.6,63219,100.3
9,Boston,Massachusetts,Northeast,Large,4941632,3419,2368,2.9,92290,132.6
10,Phoenix,Arizona,West,Large,4845832,1755,1584,2.7,58308,104.3
11,San Francisco,California,West,Large,4749008,3422,3000,2.4,123711,178.6
12,Riverside,California,West,Large,4599839,2399,1533,3.6,50384,116.1
13,Detroit,Michigan,Midwest,Large,4392041,1201,1024,3.2,60965,93.2
14,Seattle,Washington,West,Large,4018762,2162,2011,3.4,89274,124.6
15,Minneapolis,Minnesota,Midwest,Large,3690261,1625,1239,2.6,71912,105.4
16,San Diego,California,West,Large,3298634,3016,2055,2.9,72637,136.2
17,Tampa,Florida,South,Large,3175275,2146,1488,2.2,58315,101.4
18,Denver,Colorado,West,Large,2963821,1956,1665,2.8,78150,112.1
19,Baltimore,Maryland,Northeast,Large,2844510,1611,1359,3.1,70490,107
20,St. Louis,Missouri,Midwest,Large,2820253,1217,853,2.5,64769,89.6
21,Orlando,Florida,South,Large,2673376,1974,1536,2.3,53102,101.4
22,Charlotte,North Carolina,South,Large,2660329,1767,1288,3.1,62056,97.9
23,San Antonio,Texas,South,Large,2558143,1441,1138,3.3,53648,92.7
24,Portland,Oregon,West,Large,2512859,1793,1689,4.1,68374,116.5
25,Sacramento,California,West,Large,2397382,2068,1518,3.3,65972,120.3
26,Pittsburgh,Pennsylvania,Northeast,Large,2370930,1403,977,3.7,65730,93.1
27,Austin,Texas,South,Large,2283371,1840,1483,2.7,71372,106.6
28,Las Vegas,Nevada,West,Large,2265461,1781,1309,5.4,58276,100.7
29,Cincinnati,Ohio,Midwest,Large,2256884,1395,899,3.1,63116,92.4
30,Kansas City,Missouri,Midwest,Large,2192035,1293,1082,2.4,61410,91.6
31,Columbus,Ohio,Midwest,Large,2138926,1343,1010,3.1,59867,93.9
32,Indianapolis,Indiana,Midwest,Large,2111040,1303,956,2.2,65805,90.2
33,Cleveland,Ohio,Midwest,Large,2088251,1273,872,3.4,61948,90
34,San Jose,California,West,Large,2000468,3016,2763,2.1,136338,173.5
35,Nashville,Tennessee,South,Large,1989519,1830,1353,2.3,70026,100.1
36,Virginia Beach,Virginia,South,Large,1799674,1842,1215,3,56716,99
37,Providence,Rhode Island,Northeast,Large,1676579,1962,1275,2.7,64566,111.5
38,Jacksonville,Florida,South,Large,1605848,1657,1195,2.1,59271,99
39,Milwaukee,Wisconsin,Midwest,Large,1574731,1130,971,2.4,65803,93.8
40,Oklahoma City,Oklahoma,South,Large,1425695,1215,873,2.4,57150,87.3
41,Raleigh,North Carolina,South,Large,1413982,1640,1353,2.7,66428,99.7
42,Memphis,Tennessee,South,Large,1337779,1292,962,3.7,56568,88.2
43,Richmond,Virginia,South,Large,1314434,1454,1271,2.9,65834,99.2
44,Louisville/Jefferson County,Kentucky,South,Large,1285439,1262,931,2.7,59425,91.6
45,New Orleans,Louisiana,South,Large,1271845,1615,1075,3.5,61327,92.4
46,Salt Lake City,Utah,West,Large,1257936,1740,1345,2,61551,105.9
47,Hartford,Connecticut,Northeast,Large,1213531,1396,1287,,69951,104.8
48,Buffalo,New York,Northeast,Large,1166902,1222,971,3.2,56808,97.3
49,Birmingham,Alabama,South,Large,1115289,1211,1032,2,59107,90.7
50,Rochester,New York,Northeast,Large,1090135,1303,1009,2.9,58500,96.6
51,Grand Rapids,Michigan,Midwest,Large,1087592,1694,1070,3.1,57667,93.7
52,Tucson,Arizona,West,Large,1043433,1523,951,3.1,52942,97.7
53,Urban Honolulu,Hawaii,West,Large,1016508,2428,1892,3.4,63912,
54,Tulsa,Oklahoma,South,Large,1015331,1166,830,2.7,59941,86.7
55,Fresno,California,West,Large,1008654,1747,1060,6.2,51422,105.9
56,Worcester,Massachusetts,Northeast,Mid-Sized,978529,1813,1361,3.3,64540,113.2
57,Omaha,Nebraska,Midwest,Mid-Sized,967604,1225,940,2.5,64229,92.9
58,Bridgeport,Connecticut,Northeast,Mid-Sized,957419,1662,1434,,127391,
59,Greenville,South Carolina,South,Mid-Sized,928195,1545,1007,2.6,50908,95
60,Albuquerque,New Mexico,West,Mid-Sized,916528,1503,1012,3.1,52263,92.9
61,Bakersfield,California,West,Mid-Sized,909235,1836,927,6.7,45961,102.9
62,Albany,New York,Northeast,Mid-Sized,899262,1475,1166,2.5,67788,100.1
63,Knoxville,Tennessee,South,Mid-Sized,879773,1691,1024,2.6,55752,91.6
64,McAllen,Texas,South,Mid-Sized,870781,1393,742,6.8,34503,86
65,Baton Rouge,Louisiana,South,Mid-Sized,870569,1299,939,3,56396,91.1
66,El Paso,Texas,South,Mid-Sized,868859,1467,884,4,44058,88.6
67,New Haven,Connecticut,Northeast,Mid-Sized,864835,1809,1439,,64643,107.7
68,Allentown,Pennsylvania,Northeast,Mid-Sized,861889,1608,1188,3.3,62618,98.9
69,Oxnard,California,West,Mid-Sized,843843,2837,2189,3.2,73375,
70,North Port,Florida,South,Mid-Sized,833716,2174,1378,2.2,69376,
71,Columbia,South Carolina,South,Mid-Sized,829470,1393,1077,2.8,53286,91.9
72,Dayton,Ohio,Midwest,Mid-Sized,814049,1047,809,3.5,55572,88.4
73,Charleston,South Carolina,South,Mid-Sized,799636,2166,1484,2.5,60754,101.7
74,Stockton,California,West,Mid-Sized,779233,1915,1257,5.2,57783,113.6
75,Greensboro,North Carolina,South,Mid-Sized,776566,1421,981,3.6,51872,91
76,Cape Coral,Florida,South,Mid-Sized,760822,2356,1240,2.9,62885,
77,Colorado Springs,Colorado,West,Mid-Sized,755105,1784,1270,3,58736,102.2
78,Little Rock,Arkansas,South,Mid-Sized,748031,1108,859,2.8,53158,88
79,Lakeland,Florida,South,Mid-Sized,725046,1674,1010,2.7,43556,96.4
80,Des Moines,Iowa,Midwest,Mid-Sized,709466,1091,949,2.8,61833,91.7
